index,classid
624,2687646
625,2687649
626,2687656
627,2687701
628,2687707
629,2687710
630,2687717
631,2687726
632,2687731
633,2687735
634,2687771
635,2687779
636,2687808
637,2687809
638,2687843
639,2687859
640,2687870
641,2687875
642,2687885
643,2687915
644,2687927
645,2687928
646,2687929
647,2687932
648,2687935
649,2687937
650,2687940
651,2687942
652,2687943
653,2687948
654,2687949
655,2688175
656,2688176
657,2688178
658,2688180
659,2688181
660,2688185
661,2688186
662,2688187
663,2688188
664,2688189
665,2688190
666,2688193
667,2688194
668,2688195
669,2688196
670,2688197
671,2688200
672,2688201
673,2688203
674,2688204
675,2688205
676,2688207
677,2688210
678,2688211
679,2688214
680,2688216
681,2688217
682,2688219
683,2688222
684,2688223
685,2688225
686,2688227
687,2688228
688,2688231
689,2688233
690,2688236
691,2688237
692,2688238
693,2688243
694,2688244
695,2688246
696,2688249
697,2688263
698,2688265
699,2688270
700,2688289
701,2688296
702,2688307
703,2688309
704,2688311
705,2688313
706,2688318
707,2688320
708,2688321
709,2688326
710,2688329
711,2688336
712,2688339
713,2688345
714,2688350
715,2688357
716,2688363
717,2688379
718,2688382
719,2688387
720,2688392
721,2688393
722,2688407
723,2688412
724,2688420
725,2688424
726,2688438
727,2688443
728,2688461
729,2688470
730,2688506
731,2688516
732,2688524
733,2688528
734,2688531
735,2688554
736,2689806
737,2689846
738,2690215
739,2690235
740,2690282
741,2690286
742,2690297
743,2690312
744,2690315
745,2690319
746,2690327
747,2690344
748,2690359
749,2690404
750,2690416
751,2690480
752,2690514
753,2690596
754,2690598
755,2690608
756,2690614
757,2690633
758,2690636
759,2690637
760,2690640
761,2690647
762,2690649
763,2690656
764,2690666
765,2690741
766,2690753
767,2690768
768,2690811
769,2690839
770,2690844
771,2690850
772,2690898
773,2690920
774,2690922
775,2690931
776,2691022
777,2691079
778,2691081
779,2691097
780,2691110
781,2691118
782,2691146
783,2692521
784,2692557
785,2692595
786,2692601
787,2692630
788,2692634
789,2692653
790,2692656
791,2692669
792,2692672
793,2692675
794,2692677
795,2692696
796,2692699
797,2692701
798,2692711
799,2692723
800,2692748
801,2692758
802,2692759
803,2692791
804,2692793
805,2692804
806,2692843
807,2692845
808,2692883
809,2692907
810,2692912
811,2692919
812,2692927
813,2692942
814,2692945
815,2692954
816,2692968
817,2693047
818,2693056
819,2693094
820,2693121
821,2693142
822,2693144
823,2693145
824,2693146
825,2693152
826,2693174
827,2693205
828,2693231
829,2693243
830,2693252
831,2693311
832,2693325
833,2693407
834,2693468
835,2693637
836,2693643
837,2693648
838,2693653
839,2693657
840,2693660
841,2693665
842,2693669
843,2693674
844,2693680
845,2693693
846,2693709
847,2693714
848,2693722
849,2693748
850,2693754
851,2693788
852,2693796
853,2693826
854,2693837
855,2693853
856,2693860
857,2693863
858,2693874
859,2693875
860,2693879
861,2693884
862,2693891
863,2693899
864,2693906
865,2693913
866,2693922
867,2693927
868,2693928
869,2693934
870,2693935
871,2693942
872,2693943
873,2693957
874,2693968
875,2694008
876,2694027
877,2694052
878,2694064
879,2694104
880,2694123
881,2694159
882,2694199
883,2694233
884,2694249
885,2694252
886,2694442
887,2694464
888,2694485
889,2694501
890,2694507
891,2694514
892,2694518
893,2694520
894,2694530
895,2694549
896,2694580
897,2694583
898,2694585
899,2694590
900,2694600
901,2694619
902,2694629
903,2694638
904,2694647
905,2694649
906,2694651
907,2694662
908,2694666
909,2694667
910,2694672
911,2694680
912,2694689
913,2694695
914,2694710
915,2694730
916,2694744
917,2694745
918,2694749
919,2694752
920,2694760
921,2694761
922,2694764
923,2694776
924,2694777
925,2694783
926,2694786
927,2694789
928,2694792
929,2694798
930,2694803
931,2694804
932,2694806
933,2694812
934,2694820
935,2694823
936,2694851
937,2694854
938,2694856
939,2694862
940,2694867
941,2694876
942,2694877
943,2694879
944,2694886
945,2694889
946,2694894
947,2694895
948,2694910
949,2694918
950,2694922
951,2694923
952,2694927
953,2694930
954,2694932
955,2694944
956,2694945
957,2694947
958,2694955
959,2694957
960,2694966
961,2694968
962,2694988
963,2694989
964,2694996
965,2694997
966,2695002
967,2695003
968,2695004
969,2695006
970,2695007
971,2695020
972,2695023
973,2695026
974,2695035
975,2695037
976,2695045
977,2695051
978,2695056
979,2695059
980,2695068
981,2695083
982,2695086
983,2695090
984,2695104
985,2695108
986,2695110
987,2695114
988,2695136
989,2695149
990,2695166
991,2695171
992,2695178
993,2695222
994,2695234
995,2695237
996,2695239
997,2695240
998,2695257
999,2695265
1000,2695266
1001,2695281
1002,2695285
1003,2695286
1004,2695290
1005,2695300
1006,2695302
1007,2695304
1008,2695306
1009,2695309
1010,2695328
1011,2695332
1012,2695335
1013,2695342
1014,2695344
1015,2695351
1016,2695355
1017,2695360
1018,2695362
1019,2695364
1020,2695369
1021,2695373
1022,2695374
1023,2695380
1024,2695397
1025,2695405
1026,2695413
1027,2695414
1028,2695417
1029,2695421
1030,2695431
1031,2695433
1032,2695435
1033,2695436
1034,2695451
1035,2695457
1036,2695475
1037,2695476
1038,2695486
1039,2695495
1040,2695499
1041,2695501
1042,2695503
1043,2695508
1044,2695509
1045,2695522
1046,2695531
1047,2695541
1048,2695552
1049,2695553
1050,2695562
1051,2695564
1052,2695571
1053,2695580
1054,2695583
1055,2695588
1056,2695610
1057,2695613
1058,2695614
1059,2695621
1060,2695623
1061,2695627
1062,2695628
1063,2695630
1064,2695631
1065,2695634
1066,2695639
1067,2695645
1068,2695661
1069,2695666
1070,2695670
1071,2695673
1072,2695675
1073,2695691
1074,2695693
1075,2695697
1076,2695706
1077,2695711
1078,2695712
1079,2695715
1080,2695716
1081,2695721
1082,2695734
1083,2695737
1084,2695741
1085,2695746
1086,2695750
1087,2695756
1088,2695759
1089,2695767
1090,2695772
1091,2695786
1092,2695817
1093,2695829
1094,2695832
1095,2695836
1096,2695838
1097,2695839
1098,2695840
1099,2695846
1100,2695858
1101,2695861
1102,2695871
1103,2695885
1104,2695897
1105,2695903
1106,2695906
1107,2695912
1108,2695917
1109,2695928
1110,2695946
1111,2695950
1112,2695952
1113,2695963
1114,2695969
1115,2695995
1116,2695997
1117,2696010
1118,2696012
1119,2696014
1120,2696031
1121,2696056
1122,2696072
1123,2696078
1124,2696090
1125,2696092
1126,2696113
1127,2696120
1128,2696143
1129,2696150
1130,2696153
1131,2696173
1132,2696178
1133,2696186
1134,2696193
1135,2696194
1136,2696198
1137,2696203
1138,2696204
1139,2696213
1140,2696214
1141,2696225
1142,2696238
1143,2696249
1144,2696252
1145,2696257
1146,2696258
1147,2696274
1148,2696278
1149,2696295
1150,2696304
1151,2696306
1152,2696317
1153,2696323
1154,2696326
1155,2696328
1156,2696332
1157,2696340
1158,2696349
1159,2696354
1160,2696357
1161,2696359
1162,2696366
1163,2696369
1164,2696370
1165,2696524
1166,2696530
1167,2696537
1168,2696538
1169,2696549
1170,2696554
1171,2696555
1172,2696560
1173,2696561
1174,2696565
1175,2696576
1176,2696593
1177,2696602
1178,2696617
1179,2697556
1180,2697592
1181,2697606
1182,2697615
1183,2697618
1184,2697625
1185,2697633
1186,2697637
1187,2697641
1188,2697666
1189,2697686
1190,2697710
1191,2697711
1192,2697722
1193,2697726
1194,2697734
1195,2697762
1196,2697813
1197,2697815
1198,2697822
1199,2697823
1200,2697829
1201,2697845
1202,2697849
1203,2697855
1204,2697860
1205,2697872
1206,2697900
1207,2697910
1208,2697927
1209,2697951
1210,2697954
1211,2697959
1212,2697964
1213,2697967
1214,2697972
1215,2697976
1216,2697985
1217,2698001
1218,2698002
1219,2698018
1220,2698068
1221,2698107
1222,2698108
1223,2698131
1224,2698143
1225,2698173
1226,2698192
1227,2698223
1228,2698230
1229,2698232
1230,2698234
1231,2698243
1232,2698246
1233,2698253
1234,2698266
1235,2698274
1236,2698275
1237,2698292
1238,2698299
1239,2698310
1240,2698312
1241,2698324
1242,2698327
1243,2698340
1244,2698346
1245,2698364
1246,2698368
1247,2698376
1248,2698386
1249,2698412
1250,2698421
1251,2698451
1252,2698455
1253,2698460
1254,2698467
1255,2698468
1256,2698477
1257,2698478
1258,2698486
1259,2698529
1260,2698536
1261,2698562
1262,2698572
1263,2698596
1264,2698622
1265,2698628
1266,2698630
1267,2698632
1268,2698642
1269,2698653
1270,2698683
1271,2698687
1272,2698691
1273,2698696
1274,2698705
1275,2698706
1276,2698709
1277,2698711
1278,2698712
1279,2698713
1280,2698716
1281,2698720
1282,2698721
1283,2698722
1284,2698724
1285,2698725
1286,2698726
1287,2698732
1288,2698733
1289,2698736
1290,2698737
1291,2698738
1292,2698743
1293,2698744
1294,2698745
1295,2698751
1296,2698757
1297,2698759
1298,2698760
1299,2698761
1300,2698762
1301,2698763
1302,2698768
1303,2698771
1304,2698773
1305,2698775
1306,2698776
1307,2698789
1308,2698790
1309,2698792
1310,2698795
1311,2698798
1312,2698804
1313,2698806
1314,2698814
1315,2698827
1316,2698846
1317,2698861
1318,2698863
1319,2698864
1320,2698876
1321,2698886
1322,2698887
1323,2698904
1324,2698912
1325,2698931
1326,2698941
1327,2698966
1328,2698968
1329,2698973
1330,2699001
1331,2699007
1332,2699010
1333,2699018
1334,2699045
1335,2699051
1336,2699054
1337,2699060
1338,2699064
1339,2699067
1340,2699081
1341,2699083
1342,2699087
1343,2699092
1344,2699094
1345,2699095
1346,2699116
1347,2699119
1348,2699123
1349,2699126
1350,2699130
1351,2699140
1352,2699145
1353,2699166
1354,2699167
1355,2699172
1356,2699173
1357,2699176
1358,2699177
1359,2699185
1360,2699191
1361,2699205
1362,2699207
1363,2699217
1364,2699237
1365,2699241
1366,2699242
1367,2699271
1368,2699282
1369,2699306
1370,2699317
1371,2699319
1372,2699327
1373,2699331
1374,2699336
1375,2699347
1376,2699357
1377,2699365
1378,2699366
1379,2699369
1380,2699374
1381,2699384
1382,2699385
1383,2699392
1384,2699405
1385,2699414
1386,2699548
1387,2699597
1388,2699612
1389,2699629
1390,2699650
1391,2699651
1392,2699653
1393,2699673
1394,2699685
1395,2699693
1396,2699725
1397,2699741
1398,2699745
1399,2699777
1400,2699817
1401,2699927
1402,2699958
1403,2699985
1404,2700000
1405,2700135
1406,2700232
1407,2700234
1408,2700298
1409,2700381
1410,2700420
1411,2700425
1412,2700429
1413,2700468
1414,2700494
1415,2700510
1416,2700524
1417,2700541
1418,2700562
1419,2700585
1420,2700592
1421,2700617
1422,2700623
1423,2700629
1424,2700638
1425,2700640
1426,2700655
1427,2700665
1428,2700672
1429,2700673
1430,2700683
1431,2700688
1432,2700691
1433,2700706
1434,2700714
1435,2700718
1436,2700723
1437,2700725
1438,2700726
1439,2700736
1440,2700756
1441,2700768
1442,2700779
1443,2700781
1444,2700785
1445,2700788
1446,2700791
1447,2700795
1448,2700802
1449,2700815
1450,2700818
1451,2700820
1452,2700828
1453,2700839
1454,2700859
1455,2700866
1456,2700874
1457,2700880
1458,2700889
1459,2700890
1460,2700896
1461,2700907
1462,2700910
1463,2700932
1464,2700934
1465,2700945
1466,2700948
1467,2700961
1468,2700969
1469,2700974
1470,2700983
1471,2700991
1472,2700995
1473,2701001
1474,2701010
1475,2701021
1476,2701026
1477,2701029
1478,2701031
1479,2701032
1480,2701040
1481,2701050
1482,2701068
1483,2701078
1484,2701080
1485,2701116
1486,2701118
1487,2701120
1488,2701133
1489,2701143
1490,2701145
1491,2701151
1492,2701153
1493,2701154
1494,2701158
1495,2701162
1496,2701163
1497,2701164
1498,2701181
1499,2701184
1500,2701195
1501,2701200
1502,2701201
1503,2701202
1504,2701208
1505,2701218
1506,2701221
1507,2701228
1508,2701229
1509,2701235
1510,2701236
1511,2701239
1512,2701261
1513,2701266
1514,2701279
1515,2701281
1516,2701293
1517,2701297
1518,2701308
1519,2701311
1520,2701320
1521,2701323
1522,2701334
1523,2701339
1524,2701381
1525,2701388
1526,2701392
1527,2701393
1528,2701397
1529,2701399
1530,2701404
1531,2701413
1532,2701414
1533,2701418
1534,2701435
1535,2701438
1536,2701439
1537,2701440
1538,2701445
1539,2701446
1540,2701447
1541,2701455
1542,2701456
1543,2701479
1544,2701486
1545,2701488
1546,2701491
1547,2701496
1548,2701513
1549,2701520
1550,2701529
1551,2701532
1552,2701534
1553,2701543
1554,2701550
1555,2701552
1556,2701558
1557,2701560
1558,2701564
1559,2701571
1560,2701578
1561,2701580
1562,2701582
1563,2701591
1564,2701592
1565,2701599
1566,2701612
1567,2701618
1568,2701632
1569,2701636
1570,2701649
1571,2701665
1572,2701678
1573,2701695
1574,2701696
1575,2701709
1576,2701713
1577,2701717
1578,2701727
1579,2701735
1580,2701736
1581,2701740
1582,2701743
1583,2701746
1584,2701748
1585,2701753
1586,2701776
1587,2701784
1588,2701796
1589,2701799
1590,2701810
1591,2701817
1592,2701818
1593,2701823
1594,2701831
1595,2701838
1596,2701841
1597,2701854
1598,2701857
1599,2701860
1600,2701869
1601,2701892
1602,2701896
1603,2701900
1604,2701915
1605,2701920
1606,2701930
1607,2701939
1608,2701943
1609,2701957
1610,2701970
1611,2701978
1612,2701983
1613,2701994
1614,2701996
1615,2701999
1616,2702004
1617,2702006
1618,2702016
1619,2702018
1620,2702034
1621,2702048
1622,2702058
1623,2702063
1624,2702070
1625,2702074
1626,2702076
1627,2702080
1628,2702084
1629,2702266
1630,2702302
1631,2702309
1632,2702311
1633,2702318
1634,2702355
1635,2702361
1636,2702379
1637,2702384
1638,2702385
1639,2702393
1640,2702394
1641,2702417
1642,2702424
1643,2702445
1644,2702446
1645,2702451
1646,2702461
1647,2702462
1648,2702469
1649,2702471
1650,2702474
1651,2702478
1652,2702483
1653,2702485
1654,2702490
1655,2702496
1656,2702503
1657,2702504
1658,2702513
1659,2702515
1660,2702516
1661,2702518
1662,2702519
1663,2702522
1664,2702524
1665,2702527
1666,2702529
1667,2702534
1668,2702535
1669,2702536
1670,2702544
1671,2702547
1672,2702552
1673,2702574
1674,2702589
1675,2702595
1676,2702598
1677,2702601
1678,2702607
1679,2702617
1680,2702646
1681,2702665
1682,2702674
1683,2702680
1684,2702683
1685,2702685
1686,2702700
1687,2702717
1688,2702720
1689,2702789
1690,2702790
1691,2702792
1692,2702793
1693,2702797
1694,2702798
1695,2702804
1696,2702805
1697,2702806
1698,2702808
1699,2702812
1700,2702816
1701,2702820
1702,2702821
1703,2702822
1704,2702835
1705,2702839
1706,2702841
1707,2702843
1708,2702847
1709,2702852
1710,2702855
1711,2702862
1712,2702863
1713,2702864
1714,2702865
1715,2702866
1716,2702870
1717,2702888
1718,2702891
1719,2702901
1720,2702903
1721,2702905
1722,2702908
1723,2702911
1724,2702915
1725,2702918
1726,2702925
1727,2702926
1728,2702930
1729,2702936
1730,2702958
1731,2703041
1732,2703056
1733,2703057
1734,2703058
1735,2703075
1736,2703077
1737,2703085
1738,2703090
1739,2703098
1740,2703100
1741,2703101
1742,2703105
1743,2703106
1744,2703109
1745,2703110
1746,2703111
1747,2703112
1748,2703120
1749,2703122
1750,2703123
1751,2703124
1752,2703125
1753,2703127
1754,2703128
1755,2703174
1756,2703184
1757,2703190
1758,2703197
1759,2703228
1760,2703229
1761,2703230
1762,2703231
1763,2703234
1764,2703240
1765,2703242
1766,2703243
1767,2703245
1768,2703246
1769,2703249
1770,2703250
1771,2703253
1772,2703256
1773,2703259
1774,2703262
1775,2703267
1776,2703271
1777,2703273
1778,2703276
1779,2703308
1780,2703312
1781,2703315
1782,2703316
1783,2703320
1784,2703323
1785,2703331
1786,2703334
1787,2703346
1788,2703349
1789,2703353
1790,2703355
1791,2703357
1792,2703359
1793,2703369
1794,2703371
1795,2703395
1796,2703401
1797,2703404
1798,2703406
1799,2703409
1800,2703416
1801,2703418
1802,2703420
1803,2703426
1804,2703434
1805,2703436
1806,2703443
1807,2703453
1808,2703456
1809,2703457
1810,2703459
1811,2703467
1812,2703469
1813,2703471
1814,2703473
1815,2703487
1816,2703491
1817,2703494
1818,2703540
1819,2703549
1820,2703553
1821,2703554
1822,2703589
1823,2703592
1824,2703620
1825,2703622
1826,2703626
1827,2703628
1828,2703629
1829,2703641
1830,2703643
1831,2703644
1832,2703647
1833,2703655
1834,2703662
1835,2703663
1836,2703670
1837,2703674
1838,2703682
1839,2703686
1840,2703696
1841,2703698
1842,2703700
1843,2703701
1844,2703704
1845,2703705
1846,2703706
1847,2703711
1848,2703712
1849,2703717
1850,2703720
1851,2703721
1852,2703723
1853,2703731
1854,2703732
1855,2703733
1856,2703740
1857,2703743
1858,2703745
1859,2703746
1860,2703752
1861,2703754
1862,2703756
1863,2703760
1864,2703764
1865,2703765
1866,2703766
1867,2703771
1868,2703773
1869,2703777
1870,2703778
1871,2703780
1872,2703793
1873,2703856
1874,2703861
1875,2703862
1876,2703872
1877,2703873
1878,2703874
1879,2703875
1880,2703876
1881,2703881
1882,2703892
1883,2703896
1884,2703903
1885,2703911
1886,2703912
1887,2703918
1888,2703919
1889,2703924
1890,2703930
1891,2703935
1892,2703940
1893,2703942
1894,2703943
1895,2703949
1896,2703950
1897,2703951
1898,2703956
1899,2703962
1900,2703964
1901,2703965
1902,2703970
1903,2703973
1904,2703974
1905,2703976
1906,2703979
1907,2703980
1908,2703983
1909,2703985
1910,2703987
1911,2703988
1912,2703994
1913,2703997
1914,2704002
1915,2704007
1916,2704016
1917,2704017
1918,2704019
1919,2704021
1920,2704022
1921,2704024
1922,2704028
1923,2704029
1924,2704032
1925,2704033
1926,2704037
1927,2704038
1928,2704046
1929,2704051
1930,2704052
1931,2704053
1932,2704056
1933,2704057
1934,2704058
1935,2704059
1936,2704060
1937,2704063
1938,2704068
1939,2704073
1940,2704075
1941,2704085
1942,2704090
1943,2704093
1944,2704099
1945,2704100
1946,2704102
1947,2704103
1948,2704108
1949,2704111
1950,2704112
1951,2704113
1952,2704118
1953,2704120
1954,2704127
1955,2704133
1956,2704161
1957,2704178
1958,2704179
1959,2704184
1960,2704192
1961,2704194
1962,2704195
1963,2704203
1964,2704207
1965,2704211
1966,2704218
1967,2704219
1968,2704220
1969,2704226
1970,2704228
1971,2704229
1972,2704234
1973,2704239
1974,2704244
1975,2704246
1976,2704249
1977,2704254
1978,2704258
1979,2704259
1980,2704261
1981,2704265
1982,2704267
1983,2704270
1984,2704272
1985,2704276
1986,2704279
1987,2704300
1988,2704309
1989,2704313
1990,2704318
1991,2704322
1992,2704323
1993,2704324
1994,2704325
1995,2704340
1996,2704341
1997,2704346
1998,2704348
1999,2704352
2000,2704353
2001,2704375
2002,2704378
2003,2704383
2004,2704389
2005,2704394
2006,2704395
2007,2704412
2008,2704414
2009,2704417
2010,2704418
2011,2704421
2012,2704423
2013,2704430
2014,2704432
2015,2704440
2016,2704442
2017,2704444
2018,2704446
2019,2704447
2020,2704449
2021,2704451
2022,2704462
2023,2704464
2024,2704468
2025,2704469
2026,2704472
2027,2704474
2028,2704476
2029,2704479
2030,2704481
2031,2704497
2032,2704501
2033,2704505
2034,2704509
2035,2704520
2036,2704521
2037,2704523
2038,2704647
2039,2704651
2040,2704658
2041,2704661
2042,2704664
2043,2704669
2044,2704674
2045,2704684
2046,2704687
2047,2704688
2048,2704690
2049,2704691
2050,2704698
2051,2704701
2052,2704715
2053,2704720
2054,2704726
2055,2704729
2056,2704737
2057,2704740
2058,2704745
2059,2704749
2060,2704755
2061,2704756
2062,2704757
2063,2704758
2064,2704766
2065,2704767
2066,2704768
2067,2704769
2068,2704773
2069,2704776
2070,2704778
2071,2704782
2072,2704783
2073,2704785
2074,2704787
2075,2704789
2076,2704790
2077,2704792
2078,2704793
2079,2704796
2080,2704797
2081,2704798
2082,2704800
2083,2704802
2084,2704806
2085,2704808
2086,2704813
2087,2704841
2088,2704845
2089,2704846
2090,2704854
2091,2704861
2092,2704866
2093,2704871
2094,2704874
2095,2704876
2096,2704877
2097,2704883
2098,2704891
2099,2704893
2100,2704895
2101,2704896
2102,2704898
2103,2704899
2104,2704904
2105,2704906
2106,2704908
2107,2704912
2108,2704914
2109,2704915
2110,2704922
2111,2704925
2112,2704930
2113,2704934
2114,2704936
2115,2704937
2116,2704945
2117,2704949
2118,2704951
2119,2704957
2120,2704966
2121,2704968
2122,2704971
2123,2704972
2124,2704973
2125,2704974
2126,2704975
2127,2704976
2128,2704980
2129,2704983
2130,2704984
2131,2704987
2132,2704992
2133,2704993
2134,2704994
2135,2705003
2136,2705006
2137,2705011
2138,2705016
2139,2705020
2140,2705031
